name,york_id,n_entries_iris,n_instruments_iris,value,has_materials
15,york:29267,1,3,Investigating learners’ reports about the L2 classroom,Records with materials
16,york:29268,5,3,How do learners perceive interactional feedback,Records with materials
16,york:29268,5,3,"Input, interaction, and second language development: An empirical study of question formation in ESL",Records with materials
16,york:29268,5,3,Beyond production: Learners’ perceptions about interactional processes,Records with materials
16,york:29268,5,3,Interactional feedback and children's L2 development,Records with materials
16,york:29268,5,3,Interactional tasks and English L2 learning by immigrant children in Singapore,Records with materials
17,york:29269,2,2,Interactional tasks and English L2 learning by immigrant children in Singapore,Records with materials
17,york:29269,2,2,"Input, output and negotiation: Conditions for second language development",Records with materials
18,york:29270,2,2,Interactional tasks and English L2 learning by immigrant children in Singapore,Records with materials
18,york:29270,2,2,"Input, output and negotiation: Conditions for second language development",Records with materials
19,york:29271,1,3,"Input, output and negotiation: Conditions for second language development",Records with materials
20,york:29355,1,3,"Input, output and negotiation: Conditions for second language development",Records with materials
21,york:29356,1,2,"Input, output and negotiation: Conditions for second language development",Records with materials
22,york:29357,3,2,English for Maritime Studies,Records with materials
22,york:29357,3,2,Attention to form across collaborative tasks by low-proficiency learners in an EFL setting,Records with materials
22,york:29357,3,2,Oral interaction in task-based EFL learning: The use of the L1 as a cognitive tool,Records with materials
23,york:29358,4,2,Interactional strategies for interlanguage communication: Do they provide evidence for attention to form?,Records with materials
23,york:29358,4,2,"Interaction among proficient learners: Are input, feedback and output needs addressed in a foreign language context?",Records with materials
23,york:29358,4,2,L2 learner interaction in a foreign language setting: Are learning needs addressed?,Records with materials
23,york:29358,4,2,Discussions that work: Task-centred fluency practice,Records with materials
24,york:29487,3,1,Study abroad and the Internet: Physical and virtual context in an era of expanding telecommunications,Records with materials
24,york:29487,3,1,The experience and long-term impact of study abroad by Europeans in an African context,Records with materials
24,york:29487,3,1,The Language Contact Profile,Records with materials
25,york:58762,1,2,Learner language in unrehearsed communication: Nurturing individual differences in the classroom,Records with materials
26,york:58776,5,1,Relating events in narrative: A cross-linguistic developmental study,Records with materials
26,york:58776,5,1,Expressing motion events in a second language: A cognitive typological perspective,Records with materials
26,york:58776,5,1,Motion events in Spanish L2 acquisition,Records with materials
26,york:58776,5,1,"Frog, where are you",Records with materials
26,york:58776,5,1,The many ways to search for a frog: Linguistic typology and the expression of motion events,Records with materials
27,york:58794,2,3,Intuitions of the transparency of idioms: Can one keep a secret by spilling the beans,Records with materials
27,york:58794,2,3,Investigating the source of idiom transparency intuitions,Records with materials
28,york:790075,2,1,”I prefer not text”: Developing Japanese learners’ communicative competence with authentic materials,Records with materials
28,york:790075,2,1,Interlanguage pragmatic development: The study abroad context,Records with materials
29,york:790115,2,1,Understanding the notion of interdependence and the dynamics of willingness to communicate,Records with materials
29,york:790115,2,1,Investigating situational willingness to communicate within second language classrooms from an ecological perspective,Records with materials
30,york:790118,2,15,Evaluating missing-letter effects and comprehension in proﬁcient and nonproﬁcient languages.,Records with materials
30,york:790118,2,15,The Language Experience and Proficiency Questionnaire (LEAP-Q): Assessing Language Profiles in Bilinguals and Multilinguals,Records with materials
31,york:790119,2,1,Explaining frequency of verb morphology in early L2 speech,Records with materials
31,york:790119,2,1,Broken agreement,Records with materials
32,york:790121,2,5,"Questionnaires in second language research: Construction, administration, and processing (2nd ed.).",Records with materials
32,york:790121,2,5,"The L2 motivational self system among Chinese, Japanese and Iranian learners of English: A comparative study",Records with materials
33,york:790787,1,2,The effects of input-based tasks on the development of learners' pragmatic proficiency,Records with materials
34,york:790788,1,4,Student preferences: Goal-setting and self-assessment activities in a tertiary education environment,Records with materials
35,york:790790,2,4,A classroom quasi-experimental study to explore processing instruction,Records with materials
35,york:790790,2,4,The roles of structured input activities in processing instruction and the kinds of knowledge they promote,Records with materials
36,york:790791,2,6,A classroom quasi-experimental study to explore processing instruction,Records with materials
36,york:790791,2,6,The roles of structured input activities in processing instruction and the kinds of knowledge they promote,Records with materials
37,york:790792,1,2,A classroom quasi-experimental study to explore processing instruction,Records with materials
38,york:790793,2,3,A classroom quasi-experimental study to explore processing instruction,Records with materials
38,york:790793,2,3,The roles of structured input activities in processing instruction and the kinds of knowledge they promote,Records with materials
39,york:790795,2,1,A classroom quasi-experimental experiment to explore processing instruction,Records with materials
39,york:790795,2,1,The roles of structured input activities in processing instruction and the kinds of knowledge they promote,Records with materials
40,york:795511,1,3,Patterns of interaction in ESL pair work,Records with materials
41,york:795513,2,1,Elicited imitation as a measure of L2 implicit knowledge: An empirical validation study,Records with materials
41,york:795513,2,1,The elicited oral imitation test as a measure of implicit knowledge,Records with materials
42,york:795635,7,6,Introducing the preschoolers reception of syntax test (PROST),Records with materials
42,york:795635,7,6,"Syntactic development in fluent children, children who stutter, and children who have English as an additional language",Records with materials
42,york:795635,7,6,ELIAS: Early language and intercultural acquisition studies. Final report: Public part,Records with materials
42,york:795635,7,6,Lexical and grammatical comprehension in monolingual and bilingual children,Records with materials
42,york:795635,7,6,Receptive L2 grammar knowledge development in bilingual preschools,Records with materials
42,york:795635,7,6,Results of the ELIAS research studies: A summary,Records with materials
42,york:795635,7,6,Kiel Picture Pointing Test. Grammar and Vocabulary. Online Test,Records with materials
43,york:795642,2,1,"Metalinguistic knowledge, language aptitude and language proficiency.",Records with materials
43,york:795642,2,1,"Implicit and explicit knowledge in second language learning, testing and teaching",Records with materials
44,york:795644,1,1,"Implicit and explicit knowledge in second language learning, testing and teaching",Records with materials
45,york:795675,2,1,Exploring the art of vocabulary learning strategies: A closer look at Japanese EFL university students,Records with materials
45,york:795675,2,1,Examining the effectiveness of explicit instruction of vocabulary learning strategies with Japanese EFL university students,Records with materials
46,york:795848,2,1,A classroom quasi-experimental study to explore processing instruction,Records with materials
46,york:795848,2,1,The roles of structured input activities in processing instruction and the kinds of knowledge they promote,Records with materials
47,york:795877,3,1,Cognitive and interactive aspects of task-based performance in Dutch as a second language,Records with materials
47,york:795877,3,1,Effects of task complexity and interaction on L2 performance,Records with materials
47,york:795877,3,1,Effects of task complexity on the use of conjunctions in L2 task performance,Records with materials
48,york:796097,5,8,Teaching and learning of French verb inflections: A classroom experiment using processing instruction,Records with materials
48,york:796097,5,8,Input-based grammar pedagogy: A comparison of two possibilities,Records with materials
48,york:796097,5,8,Exploring input processing in the classroom: An experimental comparison of processing instruction and enriched input,Records with materials
48,york:796097,5,8,Can educational experiments both test a theory and inform practice?,Records with materials
48,york:796097,5,8,"Single group, pre- and post-test research designs: Some methodological concerns",Records with materials
49,york:796104,5,4,Teaching and learning of French verb inflections: A classroom experiment using processing instruction,Records with materials
49,york:796104,5,4,Input-based grammar pedagogy: A comparison of two possibilities,Records with materials
49,york:796104,5,4,Exploring input processing in the classroom: An experimental comparison of processing instruction and enriched input,Records with materials
49,york:796104,5,4,Can educational experiments both test a theory and inform practice?,Records with materials
49,york:796104,5,4,"Single group, pre- and post-test research designs: Some methodological concerns",Records with materials
50,york:796106,5,10,Teaching and learning of French verb inflections: A classroom experiment using processing instruction,Records with materials
50,york:796106,5,10,Input-based grammar pedagogy: A comparison of two possibilities,Records with materials
50,york:796106,5,10,Exploring input processing in the classroom: An experimental comparison of processing instruction and enriched input,Records with materials
50,york:796106,5,10,Can educational experiments both test a theory and inform practice?,Records with materials
50,york:796106,5,10,"Single group, pre- and post-test research designs: Some methodological concerns",Records with materials
51,york:796133,5,1,Teaching and learning of French verb inflections: A classroom experiment using processing instruction,Records with materials
51,york:796133,5,1,Input-based grammar pedagogy: A comparison of two possibilities,Records with materials
51,york:796133,5,1,Exploring input processing in the classroom: An experimental comparison of processing instruction and enriched input,Records with materials
51,york:796133,5,1,Can educational experiments both test a theory and inform practice?,Records with materials
51,york:796133,5,1,"Single group, pre- and post-test research designs: Some methodological concerns",Records with materials
52,york:796229,5,15,Teaching and learning of French verb inflections: A classroom experiment using processing instruction,Records with materials
52,york:796229,5,15,Input-based grammar pedagogy: A comparison of two possibilities,Records with materials
52,york:796229,5,15,Exploring input processing in the classroom: An experimental comparison of processing instruction and enriched input,Records with materials
52,york:796229,5,15,Can educational experiments both test a theory and inform practice?,Records with materials
52,york:796229,5,15,"Single group, pre- and post-test research designs: Some methodological concerns",Records with materials
53,york:796410,1,1,Interaction in conversation groups: The development of L2 conversational styles,Records with materials
54,york:796515,1,1,Tomato-Tomate: Cognate facilitation effects in advanced English-French bilinguals,Records with materials
55,york:796747,2,18,"Task complexity, focus on form, and second language development",Records with materials
55,york:796747,2,18,Working memory and the observed effectiveness of recasts on different L2 outcome measures,Records with materials
56,york:803873,2,1,Silence in the second language classroom,Records with materials
56,york:803873,2,1,Fear of the true self: Social anxiety and the silent behaviour of Japanese learners of English,Records with materials
57,york:803899,2,1,"Uptake, modified output, and learner perceptions of recasts: Learner responses as language awareness",Records with materials
57,york:803899,2,1,Stimulated recall methodology in second language research.,Records with materials
58,york:804015,2,1,Motivational characteristics of learning different target languages: Results of a nationwide survey,Records with materials
58,york:804015,2,1,Some dynamics of language attitudes and motivation: Results of a longitudinal nationwide survey,Records with materials
59,york:804076,3,1,"This ain´t my real language, Miss: On language and ethnic identity among Greek Cypriot students",Records with materials
59,york:804076,3,1,Using improper language in the classroom: The conflict between language use and legitimate varieties in education - evidence from a Greek Cypriot classroom,Records with materials
59,york:804076,3,1,"'Now, is this how we are going to say it?' Comparing teachers’ language practices in primary and secondary state education in Cyprus",Records with materials
60,york:804077,3,1,"This ain´t my real language, Miss: On language and ethnic identity among Greek Cypriot students",Records with materials
60,york:804077,3,1,Using improper language in the classroom: The conflict between language use and legitimate varieties in education - evidence from a Greek Cypriot classroom,Records with materials
60,york:804077,3,1,"'Now, is this how we are going to say it? ' Comparing teachers’ language practices in primary and secondary state education in Cyprus",Records with materials
61,york:804078,3,1,"This ain´t my real language, Miss: On language and ethnic identity among Greek Cypriot students",Records with materials
61,york:804078,3,1,Using improper language in the classroom: The conflict between language use and legitimate varieties in education - evidence from a Greek Cypriot classroom,Records with materials
61,york:804078,3,1,"'Now, is this how we are going to say it?' Comparing teachers’ language practices in primary and secondary state education in Cyprus",Records with materials
62,york:804079,3,3,The adult memory and information processing battery (AMIPB) test manual,Records with materials
62,york:804079,3,3,"Frills, furbelows and activated memory: Syntactically optional elements in the spontaneous language production of bilingual speakers",Records with materials
62,york:804079,3,3,The role of working memory in the development of L2 grammatical proficiency,Records with materials
63,york:804080,3,1,"This ain't my real language, Miss: On language and ethnic identity among Greek Cypriot students",Records with materials
63,york:804080,3,1,Using improper language in the classroom: The conflict between language use and legitimate varieties in education - evidence from a Greek Cypriot classroom,Records with materials
63,york:804080,3,1,"'Now, is this how we are going to say it?' Comparing teachers' language practices in primary and secondary state education in Cyprus",Records with materials
64,york:804081,3,1,"This ain't my real language, Miss: On language and ethnic identity among Greek Cypriot students",Records with materials
64,york:804081,3,1,Using improper language in the classroom: The conflict between language use and legitimate varieties in education - evidence from a Greek Cypriot classroom,Records with materials
64,york:804081,3,1,"'Now, is this how we are going to say it?' Comparing teachers' language practices in primary and secondary state education in Cyprus",Records with materials
65,york:804082,3,1,"This ain't my real language, Miss: On language and ethnic identity among Greek Cypriot students",Records with materials
65,york:804082,3,1,Using improper language in the classroom: The conflict between language use and legitimate varieties in education - evidence from a Greek Cypriot classroom,Records with materials
65,york:804082,3,1,"'Now, is this how we are going to say it?' Comparing teachers' language practices in primary and secondary state education in Cyprus",Records with materials
66,york:804085,1,2,"Replication, meta-analysis, and generalizability",Records with materials
67,york:804086,1,1,The effectiveness of second language strategy instruction: a meta-analysis,Records with materials
68,york:804124,1,1,The effectiveness of error correction during oral interaction: Experimental studies with English L2 learners in the United Kingdom and Saudi Arabia,Records with materials
69,york:804129,1,1,The status of metalinguistic knowledge in instructed adult L2 learning,Records with materials
70,york:804130,2,2,Metalinguistic knowledge in second language learning: An emergentist perspective,Records with materials
70,york:804130,2,2,Metalinguistic knowledge and language ability in university-level L2 learners,Records with materials
71,york:804131,1,2,The status of metalinguistic knowledge in instructed adult L2 learning,Records with materials
72,york:804132,1,6,Focus and split intransitivity: the acquisition of word order alternations in non-native Spanish,Records with materials
73,york:804133,1,2,The status of metalinguistic knowledge in instructed adult l2 learning,Records with materials
74,york:804134,2,1,L2 working memory capacity and L2 reading skill,Records with materials
74,york:804134,2,1,The status of metalinguistic knowledge in instructed adult l2 learning,Records with materials
75,york:804135,1,4,The development of the syntax-discourse interface: Greek learners of Spanish,Records with materials
76,york:804136,1,2,Selective deficits at the syntax-discourse interface: Evidence from the Cedel2 corpus,Records with materials
77,york:804227,3,2,Emotions in multiple languages,Records with materials
77,york:804227,3,2,The effects of trait emotional intelligence and sociobiographical variables on communicative anxiety and foreign language anxiety among adult multilinguals: A review and empirical investigation,Records with materials
77,york:804227,3,2,Emotions and multilingualism,Records with materials
78,york:804455,5,1,Signes du temps: Vecu,Records with materials
78,york:804455,5,1,Listening comprehension and strategy use: A longitudinal exploration,Records with materials
78,york:804455,5,1,Exploring the relationship between listening development and strategy use,Records with materials
78,york:804455,5,1,Objectif Bac 2,Records with materials
78,york:804455,5,1,Second language listening strategy research: Methodological challenges and perspectives,Records with materials
79,york:805112,1,1,Listening comprehension: The learner's perspective,Records with materials
80,york:805159,2,9,Comprehension and production of French object clitics by child second language learners and children with specific language impairment,Records with materials
80,york:805159,2,9,Syntactic development in the second language acquisition of French by instructed English learners,Records with materials
81,york:805192,1,1,Formative assessment in teacher education: The development of a diagnostic language test for trainee teachers of German,Records with materials
82,york:805197,1,1,A model for the development and application of a diagnostic test for trainee foreign language teachers,Records with materials
83,york:805198,1,2,Bringing modern languages into the primary curriculum in England: Investigating effective practice in teacher education,Records with materials
84,york:805244,3,2,Facets of speaking proficiency,Records with materials
84,york:805244,3,2,Linguistic skills and speaking fluency in a second language,Records with materials
84,york:805244,3,2,Linguistic competences of learners of Dutch as a second language at the B1 and B2 levels of speaking proficiency of the common European framework of reference for languages (CEFR),Records with materials
85,york:805245,3,2,Facets of speaking proficiency,Records with materials
85,york:805245,3,2,Linguistic skills and speaking fluency in a second language,Records with materials
85,york:805245,3,2,Linguistic competences of learners of Dutch as a second language at the B1 and B2 levels of speaking proficiency of the common European framework of reference for languages (CEFR),Records with materials
86,york:805246,5,3,Facets of speaking proficiency,Records with materials
86,york:805246,5,3,Linguistic skills and speaking fluency in a second language,Records with materials
86,york:805246,5,3,"The effect of task complexity on functional adequacy, fluency and lexical diversity in speaking performances of native and nonnative speakers",Records with materials
86,york:805246,5,3,Linguistic competences of learners of Dutch as a second language at the B1 and B2 levels of speaking proficiency of the common European framework of reference for languages (CEFR),Records with materials
86,york:805246,5,3,"Linguistic skills of adult native speakers, as a function of age and level of education",Records with materials
87,york:805502,2,37,Les débutants parlent-ils à l'infinitif? Influence de l'input sur la production des verbes par des apprenants adultes du français,Records with materials
87,york:805502,2,37,The influence of lexical aspect and input frequency in the L2 French of adult beginners,Records with materials
88,york:805558,1,1,Influence of first language orthographic experience on second language decoding and word learning,Records with materials
89,york:805629,3,1,Evaluating text-to-speech (TTS) synthesis for use in computer-assisted language learning (CALL),Records with materials
89,york:805629,3,1,Is text-to-speech synthesis ready for use in computer-assisted language learning (CALL)?,Records with materials
89,york:805629,3,1,Expanding the MOS: Development and psychometric evaluation of the MOS-R and MOS-X,Records with materials
90,york:805642,3,11,Between acquisition and attrition: The dynamics between two languages in adult migrants,Records with materials
90,york:805642,3,11,Last in first out? An investigation of the regression hypothesis in Dutch emigrants in anglophone Canada,Records with materials
90,york:805642,3,11,Quantitative analyses in a multivariate study of language attrition: The impact of extralinguistic factors,Records with materials
91,york:806353,2,3,After the Fiesta is over: Foreign language attrition of Spanish in Dutch and German Erasmus students,Records with materials
91,york:806353,2,3,Quantitative analyses in a multivariate study of language attrition: The impact of extralinguistic factors,Records with materials
92,york:806355,4,7,Between acquisition and attrition: The dynamics between two languages in adult migrants,Records with materials
92,york:806355,4,7,Last in first out? An investigation of the regression hypothesis in Dutch emigrants in anglophone Canada,Records with materials
92,york:806355,4,7,After the Fiesta is over: Foreign language attrition of Spanish in Dutch and German Erasmus students,Records with materials
92,york:806355,4,7,The role of L1 use for L1 attrition,Records with materials
93,york:806356,3,4,Last in first out? An investigation of the regression hypothesis in Dutch emigrants in anglophone Canada,Records with materials
93,york:806356,3,4,After the Fiesta is over: Foreign language attrition of Spanish in Dutch and German Erasmus students,Records with materials
93,york:806356,3,4,The role of L1 use for L1 attrition,Records with materials
94,york:806454,2,1,Exploring the relationship between modified output and working memory capacity,Records with materials
94,york:806454,2,1,An investigation into L2 aptitude for advanced Chinese language learning,Records with materials
95,york:806635,2,13,"Quantifier scope in non-native Japanese: A comparative interlanguage study of Chinese, English, and Korean-speaking learners",Records with materials
95,york:806635,2,13,"Pair-list readings in Korean-Japanese, Chinese-Japanese, and English-Japanese interlanguage",Records with materials
96,york:806669,5,2,Morphological decomposition in native and non-native French speakers,Records with materials
96,york:806669,5,2,Second language acquisition of pragmatic inferences: Evidence from the French c’est-cleft,Records with materials
96,york:806669,5,2,Incidental language learning in foreign language content courses,Records with materials
96,york:806669,5,2,Proficiency assessment standards in second language acquisition research: Clozing the gap,Records with materials
96,york:806669,5,2,Cloze tests: A tool for proficiency assessment in research on L2 French,Records with materials
97,york:806724,5,4,Teaching and learning of French verb inflections: A classroom experiment using processing instruction,Records with materials
97,york:806724,5,4,Input-based grammar pedagogy: A comparison of two possibilities,Records with materials
97,york:806724,5,4,Exploring input processing in the classroom: An experimental comparison of processing instruction and enriched input,Records with materials
97,york:806724,5,4,Can educational experiments both test a theory and inform practice?,Records with materials
97,york:806724,5,4,"Single group, pre- and post-test research designs: Some methodological concerns",Records with materials
98,york:806749,1,2,Knowledge of expletive and pronominal subjects by learners of Spanish,Records with materials
99,york:806807,2,1,The development of aspect in a second language,Records with materials
99,york:806807,2,1,The development of aspect in a second language: What now for the aspect hypothesis?,Records with materials
100,york:806808,2,1,The development of aspect in a second language,Records with materials
100,york:806808,2,1,The development of aspect in a second language: What now for the aspect hypothesis?,Records with materials
101,york:806809,2,1,The development of aspect in a second language,Records with materials
101,york:806809,2,1,The development of aspect in a second language: What now for the aspect hypothesis?,Records with materials
102,york:806824,1,1,The impact of implementing English proficiency tests as a graduation requirement at Taiwanese universities of technology,Records with materials
103,york:806835,1,4,Beginners' progress in decoding L2 French: Some longitudinal evidence,Records with materials
104,york:806911,2,10,International corpus of learner English [version 1]?,Records with materials
104,york:806911,2,10,Interface conditions on postverbal subjects: A corpus study of L2 English?,Records with materials
105,york:806933,2,1,"The significance of intercultural understanding in the key stage 3 curriculum: The perspectives of policy makers, teachers and pupils",Records with materials
105,york:806933,2,1,The significance of intercultural understanding (IU) in the English mfl curriculum: A pupil perspective,Records with materials
106,york:806937,2,1,"The significance of intercultural understanding in the key stage 3 curriculum: The perspectives of policy makers, teachers and pupils",Records with materials
106,york:806937,2,1,The significance of intercultural understanding (IU) in the English mfl curriculum: A pupil perspective,Records with materials
107,york:806985,1,1,"Interactional context and willingness to communicate: A comparison of behaviour in whole class, group and dyadic interaction",Records with materials
108,york:806986,1,1,"Interactional context and willingness to communicate: A comparison of behaviour in whole class, group and dyadic interaction",Records with materials
109,york:807014,1,1,"Interactional context and willingness to communicate: A comparison of behaviour in whole class, group and dyadic interaction",Records with materials
110,york:807015,1,1,The effectiveness of error correction during oral interaction: Experimental studies with English L2 learners in the United Kingdom and Saudi Arabia,Records with materials
111,york:807016,1,1,The effectiveness of error correction during oral interaction: Experimental studies with English L2 learners in the United Kingdom and Saudi Arabia,Records with materials
112,york:807017,1,2,The effectiveness of error correction during oral interaction: Experimental studies with English L2 learners in the United Kingdom and Saudi Arabia,Records with materials
113,york:807018,1,1,The effectiveness of error correction during oral interaction: Experimental studies with English L2 learners in the United Kingdom and Saudi Arabia,Records with materials
114,york:807077,1,1,Links between teachers’ beliefs and practices and research on reading,Records with materials
115,york:807106,3,1,Explicit instruction in grammar: A comparison of input-based and output-based instruction in second language acquisition,Records with materials
115,york:807106,3,1,Explicit instruction and input processing,Records with materials
115,york:807106,3,1,Input processing and second language acquisition: A role for instruction,Records with materials
116,york:807107,3,2,Explicit instruction in grammar: A comparison of input-based and output-based instruction in second language acquisition,Records with materials
116,york:807107,3,2,Explicit instruction and input processing,Records with materials
116,york:807107,3,2,Input processing and second language acquisition: A role for instruction,Records with materials
117,york:807201,1,5,The acquisition of Japanese lexical accent by English speakers [in Japanese],Records with materials
118,york:807336,5,4,Teaching and learning of French verb inflections: A classroom experiment using processing instruction,Records with materials
118,york:807336,5,4,Input-based grammar pedagogy: A comparison of two possibilities,Records with materials
118,york:807336,5,4,Exploring input processing in the classroom: An experimental comparison of processing instruction and enriched input,Records with materials
118,york:807336,5,4,Can educational experiments both test a theory and inform practice?,Records with materials
118,york:807336,5,4,"Single group, pre- and post-test research designs: Some methodological concerns",Records with materials
119,york:807339,5,2,Teaching and learning of French verb inflections: A classroom experiment using processing instruction,Records with materials
119,york:807339,5,2,Input-based grammar pedagogy: A comparison of two possibilities,Records with materials
119,york:807339,5,2,Exploring input processing in the classroom: An experimental comparison of processing instruction and enriched input,Records with materials
119,york:807339,5,2,Can educational experiments both test a theory and inform practice?,Records with materials
119,york:807339,5,2,"Single group, pre- and post-test research designs: Some methodological concerns",Records with materials
120,york:807358,5,5,Teaching and learning of French verb inflections: A classroom experiment using processing instruction,Records with materials
120,york:807358,5,5,Input-based grammar pedagogy: A comparison of two possibilities,Records with materials
120,york:807358,5,5,Exploring input processing in the classroom: An experimental comparison of processing instruction and enriched input,Records with materials
120,york:807358,5,5,Can educational experiments both test a theory and inform practice?,Records with materials
120,york:807358,5,5,"Single group, pre- and post-test research designs: Some methodological concerns",Records with materials
121,york:807359,5,6,Teaching and learning of French verb inflections: A classroom experiment using processing instruction,Records with materials
121,york:807359,5,6,Input-based grammar pedagogy: A comparison of two possibilities,Records with materials
121,york:807359,5,6,Exploring input processing in the classroom: An experimental comparison of processing instruction and enriched input,Records with materials
121,york:807359,5,6,Can educational experiments both test a theory and inform practice?,Records with materials
121,york:807359,5,6,"Single group, pre- and post-test research designs: Some methodological concerns",Records with materials
122,york:807360,5,5,Teaching and learning of French verb inflections: A classroom experiment using processing instruction,Records with materials
122,york:807360,5,5,Input-based grammar pedagogy: A comparison of two possibilities,Records with materials
122,york:807360,5,5,Exploring input processing in the classroom: An experimental comparison of processing instruction and enriched input,Records with materials
122,york:807360,5,5,Can educational experiments both test a theory and inform practice?,Records with materials
122,york:807360,5,5,"Single group, pre- and post-test research designs: Some methodological concerns",Records with materials
123,york:807436,1,1,The perception and production of interdental fricatives in second language acquisition,Records with materials
124,york:807442,1,0,Language history questionnaire: A web-based interface for bilingual research,Records with materials
125,york:807526,1,2,Learning novel morphology: The role of meaning and orientation of attention at initial exposure,Records with materials
126,york:807527,1,3,Learning novel morphology: The role of meaning and orientation of attention at initial exposure,Records with materials
127,york:807528,1,3,Learning novel morphology: The role of meaning and orientation of attention at initial exposure,Records with materials
128,york:807529,1,3,Learning novel morphology: The role of meaning and orientation of attention at initial exposure,Records with materials
129,york:807530,1,2,Learning novel morphology: The role of meaning and orientation of attention at initial exposure,Records with materials
130,york:807670,1,4,A cross-sectional study of French interlanguage development in an instructional setting,Records with materials
131,york:807671,1,3,A cross-sectional study of French interlanguage development in an instructional setting,Records with materials
132,york:807672,1,1,A cross-sectional study of French interlanguage development in an instructional setting,Records with materials
133,york:807673,1,3,A cross-sectional study of French interlanguage development in an instructional setting,Records with materials
134,york:807679,1,1,The acquisition of functional categories in early French second language grammars: The use of finite and non-finite verbs in negative contexts,Records with materials
135,york:807715,2,3,"Language proficiency, home-language status and English vocabulary development: A longitudinal follow-up of the Word Generation program",Records with materials
135,york:807715,2,3,Generating knowledge of academic language among urban middle school students,Records with materials
136,york:807963,1,2,Motivation to learn and teach English in Slovenia,Records with materials
137,york:807980,3,1,Learning without awareness revisited: Extending Williams (2005),Records with materials
137,york:807980,3,1,Implicit and explicit knowledge of form-meaning connections: Evidence from subjective measures of awareness,Records with materials
137,york:807980,3,1,Learning without awareness,Records with materials
138,york:808027,2,3,"Focal attention, voice, and word order: An experimental, cross-linguistic study",Records with materials
138,york:808027,2,3,Referent salience affects second language article use,Records with materials
139,york:808029,2,1,Dissociating short-term memory and language impairment: The importance of item and serial order information,Records with materials
139,york:808029,2,1,Lexical learning in bilingual adults: The relative importance of short-term memory for serial order and phonological knowledge,Records with materials
140,york:808095,2,3,The role of working memory in implicit and explicit language learning,Records with materials
140,york:808095,2,3,An automated version of the operation span task,Records with materials
141,york:808121,2,2,Young children learning Spanish make rapid use of grammatical gender in spoken word recognition,Records with materials
141,york:808121,2,2,Real-time processing of gender-marked articles by native and non-native Spanish speakers,Records with materials
142,york:808126,1,2,Implicit and explicit recasts in L2 oral French interaction,Records with materials
143,york:808127,1,2,Implicit and explicit recasts in L2 oral French interaction,Records with materials
144,york:808177,1,1,"The optimal conditions for form-focused instruction: Method, target complexity, and types of knowledge",Records with materials
145,york:808178,1,1,"The optimal conditions for form-focused instruction: Method, target complexity, and types of knowledge",Records with materials
146,york:808179,1,1,"The optimal conditions for form-focused instruction: Method, target complexity, and types of knowledge",Records with materials
147,york:808180,1,1,"The optimal conditions for form-focused instruction: Method, target complexity, and types of knowledge",Records with materials
148,york:808181,1,1,"The optimal conditions for form-focused instruction: Method, target complexity, and types of knowledge",Records with materials
149,york:808182,1,1,"The optimal conditions for form-focused instruction: Method, target complexity, and types of knowledge",Records with materials
